date,repo,clones,unique_cloners,views,unique_visitors
2026-04-07,estevanhernandez-stack-ed/vibe-cartographer,0,0,0,0
2026-04-07,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-07,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-08,estevanhernandez-stack-ed/vibe-cartographer,0,0,7,2
2026-04-08,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-08,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-09,estevanhernandez-stack-ed/vibe-cartographer,0,0,0,0
2026-04-09,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-09,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-10,estevanhernandez-stack-ed/vibe-cartographer,0,0,0,0
2026-04-10,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-10,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-11,estevanhernandez-stack-ed/vibe-cartographer,0,0,0,0
2026-04-11,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-11,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-12,estevanhernandez-stack-ed/vibe-cartographer,0,0,0,0
2026-04-12,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-12,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-13,estevanhernandez-stack-ed/vibe-cartographer,0,0,0,0
2026-04-13,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-13,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-14,estevanhernandez-stack-ed/vibe-cartographer,0,0,0,0
2026-04-14,estevanhernandez-stack-ed/Vibe-Doc,0,0,0,0
2026-04-14,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-14,estevanhernandez-stack-ed/vibe-sec,0,0,0,0
2026-04-14,estevanhernandez-stack-ed/vibe-test,0,0,0,0
2026-04-15,estevanhernandez-stack-ed/vibe-cartographer,14,14,3,1
2026-04-15,estevanhernandez-stack-ed/Vibe-Doc,171,78,1,1
2026-04-15,estevanhernandez-stack-ed/vibe-plugins,0,0,0,0
2026-04-15,estevanhernandez-stack-ed/vibe-sec,0,0,0,0
2026-04-15,estevanhernandez-stack-ed/vibe-test,0,0,0,0
2026-04-16,estevanhernandez-stack-ed/vibe-cartographer,129,45,0,0
2026-04-16,estevanhernandez-stack-ed/Vibe-Doc,102,34,3,2
2026-04-16,estevanhernandez-stack-ed/vibe-plugins,21,18,1,1
2026-04-16,estevanhernandez-stack-ed/vibe-sec,0,0,0,0
2026-04-16,estevanhernandez-stack-ed/vibe-test,0,0,0,0
2026-04-17,estevanhernandez-stack-ed/vibe-cartographer,189,33,3,1
2026-04-17,estevanhernandez-stack-ed/Vibe-Doc,39,13,0,0
2026-04-17,estevanhernandez-stack-ed/vibe-plugins,64,28,0,0
2026-04-17,estevanhernandez-stack-ed/vibe-sec,0,0,0,0
2026-04-17,estevanhernandez-stack-ed/vibe-test,0,0,0,0
